country,country_code,lcd,llcd,sid
Afghanistan,,1,1,
Angola,,1,,
Antigua and Barbuda,,,,1
Armenia,,,1,
Azerbaijan,,,1,
Bahamas,,,,1
Bangladesh,,1,,
Barbados,,,,1
Belize,,,,1
Benin,,1,,
Bhutan,,,1,
Botswana,,,1,
Burkina Faso,,1,1,
Burundi,,1,1,
Cabo Verde,,,,1
Cambodia,,1,,
Central African Republic,,1,1,
Chad,,1,1,
Comoros,,1,,1
Cook Islands,,,,1
Cuba,,,,1
Democratic Rep. of the Congo,,1,,
Djibouti,,1,,
Dominica,,,,1
Dominican Republic,,,,1
Eritrea,,1,,
Eswatini,,,1,
Ethiopia,,1,1,
Fiji,,,,1
Gambia,,1,,
Grenada,,,,1
Guinea,,1,,
Guinea-Bissau,,1,,1
Guyana,,,,1
Haiti,,1,,1
Jamaica,,,,1
Kazakhstan,,,1,
Kiribati,,1,,1
Kyrgyzstan,,,1,
Lao People’s Dem. Republic,,1,1,
Lesotho,,1,1,
Liberia,,1,,
Madagascar,,1,,
Malawi,,1,1,
Maldives,,,,1
Mali,,1,1,
Marshall Islands,,,,1
Mauritania,,1,,
Mauritius,,,,1
Micronesia (Federated States of),,,,1
Mongolia,,,1,
Mozambique,,1,,
Myanmar,,1,,
Nauru,,,,1
Nepal,,1,1,
Niger,,1,1,
Niue,,,,1
North Macedonia,,,1,
Palau,,,,1
Papua New Guinea,,,,1
Paraguay,,,1,
Plurinational State of Bolivia,,,1,
Republic of Moldova,,,1,
Rwanda,,1,1,
Samoa,,,,1
São Tomé and Príncipe,,,,1
Senegal,,1,,
Seychelles,,,,1
Sierra Leone,,1,,
Singapore,,,,1
Solomon Islands,,1,,1
Somalia,,1,,
South Sudan,,1,1,
St. Kitts and Nevis,,,,1
St. Lucia,,,,1
St. Vincent and the Grenadines,,,,1
Sudan,,1,,
Suriname,,,,1
Tajikistan,,,1,
Timor-Leste,,1,,1
Togo,,1,,
Tonga,,,,1
Trinidad and Tobago,,,,1
Turkmenistan,,,1,
Tuvalu,,1,,1
Uganda,,1,1,
United Republic of Tanzania,,1,,
Uzbekistan,,,1,
Vanuatu,,,,1
Yemen,,1,,
Zambia,,1,1,
Zimbabwe,,,1,